"iso2","citizen","values","geo"
"AT","Afghanistan",11735,"Austria"
"AT","Albania",85,"Austria"
"AT","Eritrea",95,"Austria"
"AT","Iran",2455,"Austria"
"AT","Iraq",2835,"Austria"
"AT","Nigeria",1850,"Austria"
"AT","Other countries",9965,"Austria"
"AT","Pakistan",2490,"Austria"
"AT","Russia",1605,"Austria"
"AT","Syria",8845,"Austria"
"CH","Afghanistan",3230,"Switzerland"
"CH","Albania",155,"Switzerland"
"CH","Eritrea",5175,"Switzerland"
"CH","Iran",560,"Switzerland"
"CH","Iraq",1310,"Switzerland"
"CH","Nigeria",1105,"Switzerland"
"CH","Other countries",13115,"Switzerland"
"CH","Pakistan",165,"Switzerland"
"CH","Russia",185,"Switzerland"
"CH","Syria",2140,"Switzerland"
"DE","Afghanistan",127830,"Germany"
"DE","Albania",17230,"Germany"
"DE","Eritrea",19100,"Germany"
"DE","Iran",26860,"Germany"
"DE","Iraq",97125,"Germany"
"DE","Nigeria",12910,"Germany"
"DE","Other countries",147655,"Germany"
"DE","Pakistan",15525,"Germany"
"DE","Russia",12230,"Germany"
"DE","Syria",268795,"Germany"
"EL","Afghanistan",4370,"Greece"
"EL","Albania",1425,"Greece"
"EL","Eritrea",420,"Greece"
"EL","Iran",1100,"Greece"
"EL","Iraq",4810,"Greece"
"EL","Nigeria",275,"Greece"
"EL","Other countries",7290,"Greece"
"EL","Pakistan",4695,"Greece"
"EL","Russia",20,"Greece"
"EL","Syria",26700,"Greece"
"FR","Afghanistan",6105,"France"
"FR","Albania",7430,"France"
"FR","Eritrea",1340,"France"
"FR","Iran",405,"France"
"FR","Iraq",2565,"France"
"FR","Nigeria",1930,"France"
"FR","Other countries",54540,"France"
"FR","Pakistan",1970,"France"
"FR","Russia",2490,"France"
"FR","Syria",4680,"France"
"HU","Afghanistan",11050,"Hungary"
"HU","Albania",15,"Hungary"
"HU","Eritrea",60,"Hungary"
"HU","Iran",1285,"Hungary"
"HU","Iraq",3450,"Hungary"
"HU","Nigeria",85,"Hungary"
"HU","Other countries",4610,"Hungary"
"HU","Pakistan",3875,"Hungary"
"HU","Russia",10,"Hungary"
"HU","Syria",4980,"Hungary"
"IT","Afghanistan",2845,"Italy"
"IT","Albania",365,"Italy"
"IT","Eritrea",7395,"Italy"
"IT","Iran",385,"Italy"
"IT","Iraq",1530,"Italy"
"IT","Nigeria",27105,"Italy"
"IT","Other countries",68600,"Italy"
"IT","Pakistan",13660,"Italy"
"IT","Russia",60,"Italy"
"IT","Syria",980,"Italy"
"other","Afghanistan",16870,"Other European countries"
"other","Albania",3565,"Other European countries"
"other","Eritrea",4220,"Other European countries"
"other","Iran",2915,"Other European countries"
"other","Iraq",11500,"Other European countries"
"other","Nigeria",1380,"Other European countries"
"other","Other countries",49080,"Other European countries"
"other","Pakistan",3595,"Other European countries"
"other","Russia",10635,"Other European countries"
"other","Syria",17860,"Other European countries"
"SE","Afghanistan",2950,"Sweden"
"SE","Albania",780,"Sweden"
"SE","Eritrea",1150,"Sweden"
"SE","Iran",1255,"Sweden"
"SE","Iraq",2760,"Sweden"
"SE","Nigeria",365,"Sweden"
"SE","Other countries",13385,"Sweden"
"SE","Pakistan",310,"Sweden"
"SE","Russia",410,"Sweden"
"SE","Syria",5455,"Sweden"
"UK","Afghanistan",3160,"United Kingdom"
"UK","Albania",1785,"United Kingdom"
"UK","Eritrea",1290,"United Kingdom"
"UK","Iran",4830,"United Kingdom"
"UK","Iraq",3695,"United Kingdom"
"UK","Nigeria",1835,"United Kingdom"
"UK","Other countries",16760,"United Kingdom"
"UK","Pakistan",3765,"United Kingdom"
"UK","Russia",120,"United Kingdom"
"UK","Syria",1590,"United Kingdom"
